LicenseID,First_Name,Last_Name,Active,WinPercent
JZJP-101,Milka,Lilburn,False,0.0
NVWZ-929,Llewellyn,MacCaffery,True,31.61
VELB-451,Babita,Thorsen,True,0.0
GOSC-513,Evan,Samper,True,8.63
AIRM-084,Claudina,Huntriss,True,7.09
NOLV-864,Cristie,Kahn,True,31.95
WQBU-248,Elysee,Middleton,False,31.19
SSYW-096,Romonda,Burgan,True,9.95
HDOV-080,Leopold,Capstake,False,0.0
BZXZ-529,Ellis,Chatelain,False,0.0
FYWH-550,Carmine,Aukland,False,55.87
TOEZ-577,Susy,Spelling,False,22.72
XZCY-912,Fiann,Kift,True,37.39
UIJY-863,Anabella,Blackbourn,True,51.01
GFRP-361,Tomkin,Benallack,True,38.07
LAQL-998,Merwin,Dur,False,0.0
HIVK-516,Gweneth,Honywill,False,47.83
BPQK-308,Claudianus,Loghan,True,59.66
RJBZ-784,Sayers,De La Cote,True,52.7
EBCC-393,Guillema,Well,False,29.16
VHIR-010,Denna,Grayne,True,34.22
SLKZ-616,Sumner,Hollier,False,50.9
IZHQ-092,Chiquita,Mebius,True,60.21
UHID-575,Randal,Whiles,False,43.02
KPUV-949,Lorraine,McCall,True,0.0
PRRE-598,Imogene,Honnan,False,21.0
JRWQ-966,Curry,Rehn,False,36.02
VDAQ-008,Ardene,Giannotti,False,2.08
SGCJ-248,Joanne,Winckworth,True,10.07
HETH-998,Cord,Steffens,True,10.59
UXWQ-236,Wesley,Emeny,True,28.29
PXWK-979,Ariadne,Romeuf,False,29.68
JHYE-125,Jen,De Laspee,False,18.64
UIZV-848,Gertrudis,Lowthorpe,False,31.61
OBWP-363,Kelly,Larman,True,7.58
XEOZ-608,Katee,Tomasini,False,0.0
WEFH-840,Junette,Spincks,False,53.33
